Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Luke Adams,Australia,35,189,70,M,10/22/1976,Athletics,Men's 50km Race Walk,,,,
Luke Campbell,Great Britain,24,175,,M,9/27/1987,Boxing,Men's Bantam (56kg),,,,
Luke Hall,Swaziland,23,181,85,M,4/16/1989,Swimming,Men's 50m Freestyle,,,,
Luke Jackson,Australia,27,169,,M,01/01/1985,Boxing,Men's Light (60kg),,,,
Luke Lennon-Ford,Great Britain,23,183,75,M,05/05/1989,Athletics,Men's 4 x 400m Relay,,,,
Luke Patience,Great Britain,25,167,59,M,08/04/1986,Sailing,Men's 470,YES,,0.5,
Luke Rowe,New Zealand,20,178,75,M,9/16/1991,Football,Men's Football,,,,
Luke Smith,Australia,21,204,97,M,8/30/1990,Volleyball,Men's Volleyball,,,,
Lukmon Lawal,Nigeria,23,,,M,11/19/1988,Boxing,Men's Light Heavy (81kg),,,,
Lulu Zhou,People's Republic of China,24,175,131,F,19/03/1988,Weightlifting,Women's +75kg,YES,1,,
Luol Deng,Great Britain,27,203,104,M,4/16/1985,Basketball,Men's Basketball,,,,
Lusapho April,South Africa,30,172,50,M,5/24/1982,Athletics,Men's Marathon,,,,
Lutalo Muhammad,Great Britain,21,188,,M,06/03/1991,Taekwondo,Men's -80kg,,,,
Luuk Verbij,Netherlands,26,195,112,M,08/02/1986,Judo,Men's +100kg,,,,
Luuka Jones,New Zealand,23,172,63,F,10/18/1988,Canoe Slalom,Women's Kayak (K1),,,,
Luz Mercedes Acosta Valdez,Mexico,31,166,63,F,12/22/1980,Weightlifting,Women's 63kg,,,,
Lydia Chebet Rotich,Kenya,23,157,45,F,08/08/1988,Athletics,Women's 3000m Steeplechase,,,,
Lydia Oulmou,Algeria,26,186,74,F,02/02/1986,Volleyball,Women's Volleyball,,,,
Lyn Byl,Great Britain,32,172,67,F,12/01/1979,Handball,Women's Handball,,,,
Lyndal Oatley,Australia,32,176,61,F,6/27/1980,Equestrian,Individual Dressage; Team Dressage; SANDRO BOY,,,,
Lyndsie Fogarty,Australia,28,174,67,F,4/17/1984,Canoe Sprint,Women's Kayak Double (K2) 500m; Women's Kayak Four (K4) 500m,,,,
Lynette Lim,Singapore,20,166,59,F,4/25/1992,Swimming,Women's 400m Freestyle; Women's 800m Freestyle,,,,
Lynn McCafferty,Great Britain,33,168,64,F,4/16/1979,Handball,Women's Handball,,,,
Lynne Beattie,Great Britain,26,182,65,F,12/23/1985,Volleyball,Women's Volleyball,,,,
Lynne Hutchison,Great Britain,17,173,,F,11/10/1994,Gymnastics - Rhythmic,Group All-Around,,,,
Lynsey Sharp,Great Britain,22,175,60,F,07/11/1990,Athletics,Women's 800m,,,,
Lyubov Shulika,Ukraine,24,166,65,F,7/16/1988,Cycling - Track,Women's Sprint; Women's Keirin; Women's Team Sprint,,,,
Lyubov Shutova,Russian Federation,29,177,66,F,6/25/1983,Fencing,Women's Individual Epee; Women's Team Epee,,,,
Lyudmila Kolchanova,Russian Federation,32,175,64,F,10/01/1979,Athletics,Women's Long Jump,,,,
Lyudmyla Kovalenko,Ukraine,23,167,53,F,6/26/1989,Athletics,Women's 5000m,,,,
Lyudmyla Yosypenko,Ukraine,27,175,69,F,9/24/1984,Athletics,Women's Heptathlon,,,,
Lyukman Adams,Russian Federation,23,194,87,M,9/24/1988,Athletics,Men's Triple Jump,,,,
Maaike Caelers,Netherlands,21,167,53,F,09/02/1990,Triathlon,Women's Triathlon,,,,
Maaike Head,Netherlands,28,172,60,F,09/11/1983,Rowing,Women's Lightweight Double Sculls,,,,
Maaike Polspoel,Belgium,23,178,59,F,3/28/1989,Cycling - Road,Women's Road Race,,,,
Maartje Goderie,Netherlands,28,158,50,F,04/05/1984,Hockey,Women's Hockey,,,,
Maartje Paumen,Netherlands,26,175,64,F,9/19/1985,Hockey,Women's Hockey,,,,
Macarena Aguilar Diaz,Spain,27,170,67,F,03/12/1985,Handball,Women's Handball,,,,
Macarena Rodriguez Perez,Argentina,34,155,53,F,06/10/1978,Hockey,Women's Hockey,,,,
Machel Cedenio,Trinidad and Tobago,16,183,70,M,09/06/1995,Athletics,Men's 4 x 400m Relay,,,,
Maciej Bielecki,Poland,25,173,80,M,5/19/1987,Cycling - Track,Men's Team Sprint,,,,
Maciej Bodnar,Poland,27,174,65,M,03/07/1985,Cycling - Road,Men's Individual Time Trial; Men's Road Race,,,,
Maciej Rosiewicz,Georgia,35,,,M,7/31/1977,Athletics,Men's 50km Race Walk,,,,
Madai Perez,Mexico,32,158,45,F,02/02/1980,Athletics,Women's Marathon,,,,
Madalena Felix,Angola,22,179,78,F,9/20/1989,Basketball,Women's Basketball,,,,
Madara Palameika,Latvia,25,183,76,F,6/18/1987,Athletics,Women's Javelin Throw,,,,
Madelaine Edlund,Sweden,26,171,70,F,9/15/1985,Football,Women's Football,,,,
Madelein Meppelink,Netherlands,22,182,75,F,11/29/1989,Beach Volleyball,Women's Beach Volleyball,,,,
Madeleine Ngono Mani,Cameroon,28,160,65,F,10/16/1983,Football,Women's Football,,,,
Madeleine Sandig,Germany,28,166,57,F,08/12/1983,Cycling - Track,Women's Team Pursuit,,,,
Madias Dodo Nzesso Ngake,Cameroon,20,164,75,F,4/20/1992,Weightlifting,Women's 75kg,,,,
Madonna Blyth,Australia,26,165,60,F,11/30/1985,Hockey,Women's Hockey,,,,
Mads Glaesner,Denmark,23,191,83,M,10/18/1988,Swimming,Men's 200m Freestyle; Men's 400m Freestyle; Men's 4x200m Freestyle Relay,,,,
Mads Rasmussen,Denmark,30,183,75,M,11/24/1981,Rowing,Men's Lightweight Double Sculls,YES,0.5,,
Magalie Pottier,France,23,166,70,F,3/16/1989,Cycling - BMX,Women's BMX,,,,
Magaye Gueye,Senegal,22,181,73,M,07/06/1990,Football,Men's Football,,,,
Magda Cazanga,Angola,21,172,64,F,5/28/1991,Handball,Women's Handball,,,,
Magdalena Fularczyk,Poland,25,173,72,F,9/16/1986,Rowing,Women's Double Sculls,YES,,,0.5
Magdalena Gorzkowska,Poland,20,174,59,F,4/30/1992,Athletics,Women's 4 x 400m Relay,,,,
Magdalena Moshi,United Republic of Tanzania,21,163,52,F,11/30/1990,Swimming,Women's 100m Freestyle,,,,
Magdalena Piekarska,Poland,25,192,80,F,11/28/1986,Fencing,Women's Individual Epee,,,,
Maggie Steffens,United States of America,19,175,70,F,06/04/1993,Water Polo,Women's Water Polo,YES,0.076,,
Magno Prado Nazaret,Brazil,26,174,67,M,1/17/1986,Cycling - Road,Men's Individual Time Trial; Men's Road Race,,,,
Magnus Jernemyr,Sweden,36,198,104,M,6/18/1976,Handball,Men's Handball,,,,
Magomed Abdulhamidov,Azerbaijan,25,167,,M,11/16/1986,Boxing,Men's Bantam (56kg),,,,
Magomed Musaev,Kyrgyzstan,23,180,96,M,03/11/1989,Wrestling,Men's 96kg Freestyle,,,,
Magomed Omarov,Russian Federation,22,195,,M,10/16/1989,Boxing,Men's Super Heavy (+91kg),,,,
Magomedrasul Medzhidov,Azerbaijan,25,190,,M,9/27/1986,Boxing,Men's Super Heavy (+91kg),,,,
Mahe Drysdale,New Zealand,33,199,100,M,11/19/1978,Rowing,Men's Single Sculls,YES,1,,
Maher Abu Rmilah,Palestine,28,172,72,M,8/24/1983,Judo,Men's -73kg,,,,
Mahesh Bhupathi,India,38,,,M,06/07/1974,Tennis,Men's Doubles,,,,
Mahiedine Mekhissi-Benabbad,France,27,187,75,M,3/15/1985,Athletics,Men's 3000m Steeplechase,YES,,1,
Mahjouba Oubtil,Morocco,29,,,F,12/15/1982,Boxing,Women's Light (60kg),,,,
Mahlagha Jambozorg,Islamic Republic of Iran,20,162,82,F,8/15/1991,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Mahmoud Alaa Eldin,Egypt,21,189,84,M,01/01/1991,Football,Men's Football,,,,
Mai Mohamed,Egypt,22,167,,F,04/04/1990,Synchronised Swimming,Women's Teams,,,,
Mai Nakagawa,Japan,25,155,52,F,04/07/1987,Diving,Women's 10m Platform,,,,
Mai Nakamura,Japan,23,163,,F,1/13/1989,Synchronised Swimming,Women's Teams,,,,
Mai Yamaguchi,Japan,29,176,62,F,07/03/1983,Volleyball,Women's Volleyball,,,,
Maialen Chourraut,Spain,29,161,55,F,03/08/1983,Canoe Slalom,Women's Kayak (K1),YES,,,1
Maica Garcia,Spain,21,188,90,F,10/17/1990,Water Polo,Women's Water Polo,YES,,0.076,
Maider Unda Gonzalez de Audicana,Spain,35,176,72,F,07/02/1977,Wrestling,Women's 72kg Freestyle,YES,,,1
Maik Baier,Germany,23,180,91,M,6/20/1989,Cycling - BMX,Men's BMX,,,,
Maik Eckhardt,Germany,42,186,90,M,06/04/1970,Shooting,Men's 50m Rifle Prone; Men's 50m Rifle 3 Positions,,,,
Maik Petzold,Germany,34,182,70,M,1/16/1978,Triathlon,Men's Triathlon,,,,
Maike Stoeckel,Germany,28,166,61,F,03/06/1984,Hockey,Women's Hockey,,,,
Maikel van der Vleuten,Netherlands,24,168,58,M,02/10/1988,Equestrian,Individual Jumping; Team Jumping; VERDI,YES,,0.25,
Maiko Gogoladze,Georgia,20,166,58,F,09/09/1991,Athletics,Women's Long Jump,,,,
Maiko Kano,Japan,24,185,72,F,7/15/1988,Volleyball,Women's Volleyball,,,,
Mailin Vargas,Cuba,29,,,F,3/24/1983,Athletics,Women's Shot Put,,,,
Maiya Maneza,Kazakhstan,26,161,62,F,11/01/1985,Weightlifting,Women's 63kg,YES,1,,
Maja Cesar,Slovenia,22,177,63,F,4/18/1990,Swimming,Women's 4x200m Freestyle Relay,,,,
Maja Jager,Denmark,20,168,55,F,12/22/1991,Archery,Women's Individual; Women's Team,,,,
Maja Neuenschwander,Switzerland,32,168,55,F,2/13/1980,Athletics,Women's Marathon,,,,
Maja Ognjenovic,Serbia,27,183,68,F,08/06/1984,Volleyball,Women's Volleyball,,,,
Maja Savic,Montenegro,36,176,66,F,4/29/1976,Handball,Women's Handball,,,,
Maja Tvrdy,Slovenia,28,170,59,F,11/20/1983,Badminton,Women's Singles,,,,
Maja Wloszczowska,Poland,28,170,53,F,11/09/1983,Cycling - Mountain Bike,Women's Cross-country,,,,
Maja Zebic,Croatia,30,178,62,F,5/31/1982,Handball,Women's Handball,,,,
Majda Mehmedovic,Montenegro,22,171,63,F,5/25/1990,Handball,Women's Handball,,,,
Majed Al-Tamimi,Saudi Arabia,40,,,M,8/21/1971,Shooting,Men's Skeet,,,,
Majlinda Kelmendi,Albania,21,,51,F,05/09/1991,Judo,Women's -52kg,,,,
Makram Ben Romdhane,Tunisia,23,204,102,M,3/27/1989,Basketball,Men's Basketball,,,,
Maksim Dyldin,Russian Federation,25,178,68,M,5/19/1987,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Maksim Lynsha,Belarus,27,190,80,M,04/06/1985,Athletics,Men's 110m Hurdles,,,,
Maksim Prokopenko,Azerbaijan,28,180,84,M,3/23/1984,Canoe Sprint,Men's Canoe Double (C2) 1000m,,,,
Maksim Sidorov,Russian Federation,26,188,120,M,5/13/1986,Athletics,Men's Shot Put,,,,
Maksim Skavysh,Belarus,22,183,73,M,11/13/1989,Football,Men's Football,,,,
Maksim Vitus,Belarus,23,178,68,M,02/11/1989,Football,Men's Football,,,,
Maksym Mazuryk,Ukraine,29,190,90,M,04/02/1983,Athletics,Men's Pole Vault,,,,
Maksym Oberemko,Ukraine,34,185,68,M,1/25/1978,Sailing,Men's RS-X,,,,
Malal Ndiaye,Senegal,35,167,100,M,01/12/1977,Wrestling,Men's 120kg Freestyle,,,,
Malcolm Howard,Canada,29,200,100,M,02/07/1983,Rowing,Men's Eight,YES,,0.111,
Malcolm Page,Australia,40,185,71,M,3/22/1972,Sailing,Men's 470,YES,0.5,,
Malek Jaziri,Tunisia,28,185,82,M,1/20/1984,Tennis,Men's Singles,,,,
Malgorzata Wojtkowiak,Poland,30,169,65,F,1/30/1982,Fencing,Women's Individual Foil; Women's Team Foil,,,,
Malgorzata Wojtyra,Poland,22,176,70,F,9/21/1989,Cycling - Track,Women's Omnium,,,,
Malick Fall,Senegal,26,188,76,M,12/11/1985,Swimming,Men's 100m Breaststroke,,,,
Malika Akkaoui,Morocco,24,160,49,F,12/25/1987,Athletics,Women's 800m,,,,
Malin Baryard-Johnsson,Sweden,37,172,52,F,04/10/1975,Equestrian,Individual Jumping; Team Jumping; TORNESCH,,,,
Malin Kallstrom,Sweden,43,164,73,F,5/14/1969,Sailing,Women's Elliott 6m,,,,
Malin Levenstad,Sweden,23,165,56,F,9/13/1988,Football,Women's Football,,,,
Malin Petersen,Sweden,31,169,62,F,1/31/1981,Equestrian,Individual Eventing; Team Eventing; SOFARSOGOOD,,,,
Malin Westerheim,Norway,18,,,F,11/10/1993,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Malkhaz Zarkua,Georgia,26,169,60,M,2/19/1986,Wrestling,Men's 60kg Freestyle,,,,
Malte Mohr,Germany,26,192,83,M,7/24/1986,Athletics,Men's Pole Vault,,,,
Mamadou Barry,Guinea,20,178,66,M,12/19/1991,Athletics,Men's 1500m,,,,
Mamadou Kasse Hanne,Senegal,25,172,70,M,10/10/1986,Athletics,Men's 400m Hurdles,,,,
Mamadou Soumare,Mali,20,,,M,01/01/1992,Swimming,Men's 100m Freestyle,,,,
Mami Shimamoto,Japan,24,165,103,F,9/24/1987,Weightlifting,Women's +75kg,,,,
Man Lok Ho,Hong Kong (China),20,177,67,M,9/27/1991,Athletics,Men's 4 x 100m Relay,,,,
Mana Iwabuchi,Japan,19,153,49,F,3/18/1993,Football,Women's Football,,,,
Manabu Saito,Japan,22,165,54,M,04/04/1990,Football,Men's Football,,,,
Manami Doi,Japan,18,166,56,F,8/29/1993,Sailing,Women's Laser Radial,,,,
Manavjit Singh Sandhu,India,35,,,M,11/03/1976,Shooting,Men's Trap,,,,
Mandy Haase,Germany,30,164,58,F,6/25/1982,Hockey,Women's Hockey,,,,
Maneepong Jongjit,Thailand,21,178,75,M,3/21/1991,Badminton,Men's Doubles,,,,
Manel Terraza,Spain,22,190,78,M,05/11/1990,Hockey,Men's Hockey,,,,
Mangala Samarakoon,Sri Lanka,31,,,M,8/26/1980,Shooting,Men's 10m Air Rifle; Men's 50m Rifle Prone,,,,
Manjeet Singh,India,23,178,69,M,10/10/1988,Rowing,Men's Lightweight Double Sculls,,,,
Mannad Zeid,Egypt,22,186,70,M,10/01/1989,Fencing,Men's Individual Sabre,,,,
Manpreet Singh,India,20,,,M,6/26/1992,Hockey,Men's Hockey,,,,
Mansur Isaev,Russian Federation,25,172,73,M,9/23/1986,Judo,Men's -73kg,YES,1,,
Mansur Rejepov,Turkmenistan,30,178,85,M,01/03/1982,Weightlifting,Men's 85kg,,,,
Mantas Kalnietis,Lithuania,25,195,92,M,09/06/1986,Basketball,Men's Basketball,,,,
Manteo Mitchell,United States of America,25,185,79,M,07/06/1987,Athletics,Men's 4 x 400m Relay,,,,
Manthos Voulgarakis,Greece,32,188,104,M,3/14/1980,Water Polo,Men's Water Polo,,,,
Manu Ginobili,Argentina,35,196,91,M,7/28/1977,Basketball,Men's Basketball,,,,
Manuchar Tskhadaia,Georgia,27,165,66,M,3/19/1985,Wrestling,Men's 66kg Greco-Roman,YES,,,1
Manuel Almeida Campos,Portugal,31,163,,M,07/12/1981,Gymnastics - Artistic,Men's Qualification,,,,
Manuel Antonio,Angola,23,177,69,M,11/03/1988,Athletics,Men's 800m,,,,
Manuel Antonio Leal Cardoso,Portugal,29,179,70,M,04/07/1983,Cycling - Road,Men's Road Race,,,,
Manuel Brunet,Argentina,26,178,81,M,11/16/1985,Hockey,Men's Hockey,,,,
Manuel Cappai,Italy,19,167,,M,10/09/1992,Boxing,Men's Light Fly (49kg),,,,
Manuel de Vecchi,Italy,31,182,91,M,10/08/1980,Cycling - BMX,Men's BMX,,,,
Manuel Fumic,Germany,30,175,69,M,3/30/1982,Cycling - Mountain Bike,Men's Cross-country,,,,
Manuel Huerta,United States of America,28,168,56,M,3/22/1984,Triathlon,Men's Triathlon,,,,
Manuel Minginfel,Federated States of Micronesia,33,158,62,M,9/28/1978,Weightlifting,Men's 62kg,,,,
Manuel Suarez Barrios,Cuba,22,,,M,12/05/1989,Rowing,Men's Lightweight Double Sculls,,,,
Manuela Gentili,Italy,34,162,52,F,02/07/1978,Athletics,Women's 4 x 400m Relay,,,,
Manueli Tulo,Fiji,22,151,56,M,3/25/1990,Weightlifting,Men's 56kg,,,,
Maoulida Daroueche,Comoros,22,175,70,M,02/07/1990,Athletics,Men's 400m Hurdles,,,,
Maoxing Huang,People's Republic of China,22,186,92,M,6/16/1990,Canoe Sprint,Men's Canoe Double (C2) 1000m,,,,
Mara Navarria,Italy,27,172,75,F,7/18/1985,Fencing,Women's Individual Epee; Women's Team Epee,,,,
Mara Yamauchi,Great Britain,38,162,51,F,8/13/1973,Athletics,Women's Marathon,,,,
Maral Feizbakhsh,Germany,21,175,61,F,9/22/1990,Athletics,Women's 4 x 400m Relay,,,,
Marc Bassingthwaighte,Namibia,28,178,68,M,10/11/1983,Cycling - Mountain Bike,Men's Cross-country,,,,
Marc Burns,Trinidad and Tobago,29,185,88,M,01/07/1983,Athletics,Men's 100m; Men's 4 x 100m Relay,,,,
Marc Gasol,Spain,27,215,122,M,1/29/1985,Basketball,Men's Basketball,,,,
Marc Houtzager,Netherlands,41,190,87,M,01/09/1971,Equestrian,Individual Jumping; Team Jumping; TAMINO,YES,,0.25,
Marc Lopez,Spain,30,175,71,M,7/31/1982,Tennis,Men's Doubles,,,,
Marc Minguell Alferez,Spain,27,186,95,M,1/14/1985,Water Polo,Men's Water Polo,,,,
Marc Mundell,South Africa,29,189,77,M,07/07/1983,Athletics,Men's 50km Race Walk,,,,
Marc Rigouts,Belgium,53,183,79,M,10/14/1958,Equestrian,Individual Eventing; Team Eventing; DUNKAS A,,,,
Marc Ryan,New Zealand,29,185,77,M,10/14/1982,Cycling - Track,Men's Team Pursuit,YES,,,0.25
Marc Salles,Spain,25,170,64,M,05/06/1987,Hockey,Men's Hockey,,,,
Marc Willers,New Zealand,26,185,81,M,09/11/1985,Cycling - BMX,Men's BMX,,,,
Marcel Balkestein,Netherlands,31,180,77,M,1/29/1981,Hockey,Men's Hockey,,,,
Marcel Buerge,Switzerland,40,180,90,M,3/28/1972,Shooting,Men's 50m Rifle Prone; Men's 50m Rifle 3 Positions,,,,
Marcel Granollers,Spain,26,190,77,M,04/12/1986,Tennis,Men's Doubles,,,,
Marcel Hacker,Germany,35,196,97,M,4/29/1977,Rowing,Men's Single Sculls,,,,
Marcel Lomnicky,Slovakia,25,177,106,M,07/06/1987,Athletics,Men's Hammer Throw,,,,
Marcel Marcilloux,France,31,178,76,M,13/10/1980 (FRA),Fencing,Men's Team Foil,,,,
Marcel Nguyen,Germany,24,167,,M,09/08/1987,Gymnastics - Artistic,Men's Individual All-Around; Men's Team; Men's Qualification,YES,,2,
Marcel Sieberg,Germany,30,198,82,M,4/30/1982,Cycling - Road,Men's Road Race,,,,
Marcel Tschopp,Liechtenstein,38,181,66,M,28/04/1974 (SUI),Athletics,Men's Marathon,,,,
Marcelien Bos-de Koning,Netherlands,34,175,62,F,05/10/1978,Sailing,Women's Elliott 6m,,,,
Marcelina Kiala,Angola,32,177,84,F,11/09/1979,Handball,Women's Handball,,,,
Marcelinho Huertas,Brazil,29,190,85,M,5/25/1983,Basketball,Men's Basketball,,,,
Marcell Deak Nagy,Hungary,20,,,M,1/28/1992,Athletics,Men's 400m,,,,
Marcello Miani,Italy,28,183,72,M,03/05/1984,Rowing,Men's Lightweight Four,,,,
Marcelo Aguirre,Paraguay,19,174,66,M,1/21/1993,Table Tennis,Men's Singles,,,,
Marcelo Chierighini,Brazil,21,,,M,1/15/1991,Swimming,Men's 4x100m Freestyle Relay; Men's 4x100m Medley Relay,,,,
Marcelo Machado,Brazil,37,200,95,M,04/12/1975,Basketball,Men's Basketball,,,,
Marcelo Melo,Brazil,28,,,M,9/23/1983,Tennis,Men's Doubles,,,,
Marcelo Silva,Uruguay,23,179,76,M,3/21/1989,Football,Men's Football,,,,
Marcelo Vieira Da Silva Junior,Brazil,24,173,72,M,05/12/1988,Football,Men's Football,,,,
Marcia Yuleisi Andrades Mendoza,Venezuela,28,165,55,F,5/17/1984,Wrestling,Women's 55kg Freestyle,,,,
Marcin Brzezinski,Poland,28,194,98,M,01/06/1984,Rowing,Men's Eight,,,,
Marcin Chabowski,Poland,26,174,56,M,6/28/1986,Athletics,Men's Marathon,,,,
Marcin Cieslak,Poland,20,193,85,M,04/07/1992,Swimming,Men's 200m Butterfly; Men's 200m Individual Medley,,,,
Marcin Dolega,Poland,30,184,105,M,7/18/1982,Weightlifting,Men's 105kg,,,,
Marcin Grzybowski,Poland,33,177,74,M,01/10/1979,Canoe Sprint,Men's Canoe Double (C2) 1000m,,,,
Marcin Lewandowski,Poland,25,179,64,M,6/13/1987,Athletics,Men's 800m,,,,
Marcin Marciniszyn,Poland,29,184,80,M,09/07/1982,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Marcin Matkowski,Poland,31,185,90,M,1/15/1981,Tennis,Men's Doubles; Mixed Doubles,,,,
Marcin Mozdzonek,Poland,27,211,51,M,02/09/1985,Volleyball,Men's Volleyball,,,,
Marcin Pochwala,Poland,28,182,79,M,2/14/1984,Canoe Slalom,Men's Canoe Double (C2),,,,
Marcin Tarczynski,Poland,21,190,84,M,09/10/1990,Swimming,Men's 100m Backstroke,,,,
Marcio Carvalho Jorge,Brazil,37,,,M,1/28/1975,Equestrian,Individual Eventing; Team Eventing; JOSEPHINE,,,,
Marco Aurelio Fontana,Italy,27,172,68,M,12/12/1984,Cycling - Mountain Bike,Men's Cross-country,,,,
Marco Belotti,Italy,23,185,76,M,11/29/1988,Swimming,Men's 200m Freestyle; Men's 4x200m Freestyle Relay,,,,
Marco de Luca,Italy,31,188,72,M,05/12/1981,Athletics,Men's 50km Race Walk,,,,
Marco de Nicolo,Italy,35,180,85,M,9/30/1976,Shooting,Men's 10m Air Rifle; Men's 50m Rifle Prone; Men's 50m Rifle 3 Positions,,,,
Marco di Carli,Germany,27,189,78,M,04/12/1985,Swimming,Men's 100m Freestyle; Men's 4x100m Freestyle Relay; Men's 4x100m Medley Relay,,,,
Marco Fabian,Mexico,23,172,69,M,7/21/1989,Football,Men's Football,,,,
Marco Fortes,Portugal,29,189,135,M,9/26/1982,Athletics,Men's Shot Put,,,,
Marco Galiazzo,Italy,29,178,98,M,05/07/1983,Archery,Men's Individual; Men's Team,YES,0.33,,
Marco Koch,Germany,22,185,80,M,1/25/1990,Swimming,Men's 200m Breaststroke,,,,
Marco Loughran,Great Britain,23,186,75,M,3/24/1989,Swimming,Men's 200m Backstroke,,,,
Marco Orsi,Italy,21,186,83,M,12/11/1990,Swimming,Men's 50m Freestyle; Men's 4x100m Freestyle Relay,,,,
Marco Rojas,New Zealand,20,168,64,M,11/05/1991,Football,Men's Football,,,,
Marcos Aoas Correa,Brazil,18,,,M,5/14/1994,Football,Men's Football,,,,
Marcos Baghdatis,Cyprus,27,,,M,6/17/1985,Tennis,Men's Singles,,,,
Marcos Chuva,Portugal,22,182,75,M,08/08/1989,Athletics,Men's Long Jump,,,,
Marcos Freitas,Portugal,24,181,75,M,04/08/1988,Table Tennis,Men's Singles; Men's Team,,,,
Marcos Lavado Mora,Venezuela,20,182,60,M,8/22/1991,Swimming,Men's 200m Butterfly; Men's 4x100m Freestyle Relay,,,,
Marcos Mata,Argentina,26,199,105,M,08/01/1986,Basketball,Men's Basketball,,,,
Marcus Bohme,Germany,26,211,115,M,8/25/1985,Volleyball,Men's Volleyball,,,,
Marcus Browne,United States of America,21,188,,M,11/10/1990,Boxing,Men's Light Heavy (81kg),,,,
Marcus Cleverly,Denmark,31,188,91,M,6/15/1981,Handball,Men's Handball,,,,
Marcus Ehning,Germany,38,170,63,M,4/19/1974,Equestrian,Individual Jumping; Team Jumping; PLOT BLUE,,,,
Marcus Gross,Germany,22,182,85,M,9/28/1989,Canoe Sprint,Men's Kayak Four (K4) 1000m,,,,
Marcus Nyman,Sweden,21,189,90,M,8/14/1990,Judo,Men's -90kg,,,,
Marcus Popp,Germany,30,192,93,M,9/23/1981,Volleyball,Men's Volleyball,,,,
Marcus Svensson,Sweden,22,175,67,M,3/22/1990,Shooting,Men's Skeet,,,,
Mare Dibaba,Ethiopia,22,151,38,F,10/20/1989,Athletics,Women's Marathon,,,,
Marek Jaskolka,Poland,36,185,75,M,4/19/1976,Triathlon,Men's Triathlon,,,,
Marek Kolbowicz,Poland,41,195,91,M,06/11/1971,Rowing,Men's Quadruple Sculls,,,,
Marek Konwa,Poland,22,176,62,M,03/11/1990,Cycling - Mountain Bike,Men's Cross-country,,,,
Marek Krajcovic,Slovakia,20,183,77,M,08/03/1992,Canoe Sprint,Men's Kayak Double (K2) 1000m,,,,
Marek Niit,Estonia,24,182,82,M,09/08/1987,Athletics,Men's 100m; Men's 200m,,,,
Mareks Arents,Latvia,25,190,85,M,08/06/1986,Athletics,Men's Pole Vault,,,,
Mareme Faye,Senegal,25,177,73,F,5/27/1987,Swimming,Women's 100m Freestyle,,,,
Margalida Crespi Jaume,Spain,21,170,,F,8/15/1990,Synchronised Swimming,Women's Teams,,,,
Margalita Chakhnashvili,Georgia,29,172,58,F,12/09/1982,Tennis,Women's Doubles,,,,
Margaret Adeoye,Great Britain,27,162,65,F,4/22/1985,Athletics,Women's 200m,,,,
Margaret Etim,Nigeria,19,150,52,F,11/28/1992,Athletics,Women's 4 x 400m Relay,,,,
Margaret Simpson,Ghana,30,162,59,F,12/31/1981,Athletics,Women's Heptathlon,,,,
Margarita Matsko Mukasheva,Kazakhstan,26,166,50,F,01/04/1986,Athletics,Women's 800m,,,,
Margarita Nesterova,Russian Federation,22,168,56,F,9/20/1989,Swimming,Women's 4x100m Freestyle Relay,,,,
Margarita Tschomakova,Bulgaria,23,168,55,F,11/27/1988,Fencing,Women's Individual Sabre,,,,
Margaryta Pesotska,Ukraine,20,175,68,F,08/09/1991,Table Tennis,Women's Singles,,,,
Margaux Farrell,France,21,183,71,F,8/22/1990,Swimming,Women's 4x200m Freestyle Relay,,,,
Margaux Isaksen,United States of America,20,178,61,F,10/07/1991,Modern Pentathlon,Women's Modern Pentathlon,,,,
Margot Shumway,United States of America,33,180,78,F,08/02/1979,Rowing,Women's Double Sculls,,,,
Margot van Geffen,Netherlands,22,171,63,F,11/23/1989,Hockey,Women's Hockey,,,,
Margrethe Renstrom,Norway,27,,,F,3/21/1985,Athletics,Women's Long Jump,,,,
Marharyta Dorozhon,Ukraine,24,180,75,F,09/04/1987,Athletics,Women's Javelin Throw,,,,
Marharyta Tsishkevich,Belarus,20,180,73,F,2/13/1992,Canoe Sprint,Women's Kayak Single (K1) 200m; Women's Kayak Single (K1) 500m,,,,
Marharyta Tverdohlib,Ukraine,21,179,70,F,06/02/1991,Athletics,Women's Long Jump,,,,
Marhinde Verkerk,Netherlands,26,173,78,F,11/21/1985,Judo,Women's -78kg,,,,
Maria Abakumova,Russian Federation,26,178,85,F,1/15/1986,Athletics,Women's Javelin Throw,,,,
Maria Alejandra Idrobo,Colombia,24,170,67,F,04/08/1988,Athletics,Women's 4 x 100m Relay,,,,
Maria Alexandra Escobar Guerrero,Ecuador,32,158,57,F,7/17/1980,Weightlifting,Women's 58kg,,,,
Maria Antonelli,Brazil,28,176,68,F,2/25/1984,Beach Volleyball,Women's Beach Volleyball,,,,
Maria Belen Perez Maurice,Argentina,27,180,67,F,07/12/1985,Fencing,Women's Individual Sabre,,,,
